scenario,p_accept_mult,pd_mult,npv_mean,npv_p05,cvar95,avg_defaults
base,0.9,0.9,-560200.2074337198,-601381.2799392744,-612462.6816292307,1621.5296666666666
base,0.9,1.0,-662628.7086058129,-704445.6410672934,-714410.6497259333,1800.061
base,0.9,1.1,-766179.2533884862,-810341.8307252609,-823723.9314599502,1980.5423333333333
base,1.0,0.9,-621984.9926158491,-662718.9283896853,-672932.0868295954,1801.088
base,1.0,1.0,-737452.8746697573,-779742.7207451523,-791585.8037077802,2001.8626666666667
base,1.0,1.1,-851405.9941466374,-898703.0068216226,-910742.6133167068,2201.6763333333333
base,1.1,0.9,-684427.1110010076,-729616.4773142487,-742178.5206685719,1981.4613333333334
base,1.1,1.0,-810686.1745562474,-857148.0686256541,-867568.8949363297,2201.437
base,1.1,1.1,-937007.9964667638,-984722.9611629382,-997162.8256034657,2422.1156666666666
