scenario,npv_mean,npv_std,npv_p05,npv_p50,npv_p95,var95,cvar95,avg_accepted,avg_defaults,avg_capital_used
base,-736980.7994190615,27025.088194064378,-781088.004590747,-736946.7325013855,-692272.9816188385,-781088.004590747,-792729.516971211,10567.5168,2001.0806,12385149.636
stress,-784036.5602182972,29169.71559035632,-833561.892103777,-783570.8356829212,-736442.4298620222,-833561.892103777,-845597.5452107,9627.8874,1794.4034,12386509.9908
benign,-706662.0775050301,25578.71815594442,-749301.4683832563,-706103.1454513865,-665500.4747978614,-749301.4683832563,-761129.1983777516,11023.63,2089.5312,12386611.6613
